,coh,dur,pc,dotmode
0,0.03,0.03333333333333333,0.48118279569892475,2d
1,0.03,0.05,0.504424778761062,2d
2,0.03,0.06666666666666667,0.4590643274853801,2d
3,0.03,0.08333333333333333,0.5421686746987951,2d
4,0.03,0.1,0.5635245901639344,2d
5,0.03,0.13333333333333333,0.5921787709497207,2d
6,0.03,0.16666666666666666,0.6009501187648456,2d
7,0.03,0.21666666666666667,0.6,2d
8,0.03,0.26666666666666666,0.6067415730337079,2d
9,0.03,0.35,0.6292134831460674,2d
10,0.03,0.45,0.6443418013856813,2d
11,0.03,0.5833333333333334,0.6182212581344902,2d
12,0.03,0.7666666666666667,0.6651982378854625,2d
13,0.03,0.9833333333333333,0.7136752136752137,2d
14,0.03,1.2666666666666666,0.7352941176470589,2d
15,0.03,1.65,0.7,2d
16,0.03,2.1333333333333333,0.525,2d
17,0.03,2.75,0.65,2d
18,0.03,3.566666666666667,0.6470588235294118,2d
19,0.03,4.616666666666666,0.7065217391304348,2d
20,0.06,0.03333333333333333,0.49193548387096775,2d
21,0.06,0.05,0.5034802784222738,2d
22,0.06,0.06666666666666667,0.5949720670391061,2d
23,0.06,0.08333333333333333,0.5641891891891891,2d
24,0.06,0.1,0.6331236897274634,2d
25,0.06,0.13333333333333333,0.6341463414634146,2d
26,0.06,0.16666666666666666,0.6905940594059405,2d
27,0.06,0.21666666666666667,0.6840796019900498,2d
28,0.06,0.26666666666666666,0.7027649769585254,2d
29,0.06,0.35,0.7350993377483444,2d
30,0.06,0.45,0.7314148681055156,2d
31,0.06,0.5833333333333334,0.7551020408163265,2d
32,0.06,0.7666666666666667,0.7976744186046512,2d
33,0.06,0.9833333333333333,0.8134920634920635,2d
34,0.06,1.2666666666666666,0.7297297297297297,2d
35,0.06,1.65,0.8947368421052632,2d
36,0.06,2.1333333333333333,0.8095238095238095,2d
37,0.06,2.75,0.7758620689655172,2d
38,0.06,3.566666666666667,0.9354838709677419,2d
39,0.06,4.616666666666666,0.85,2d
40,0.12,0.03333333333333333,0.518918918918919,2d
41,0.12,0.05,0.5269607843137255,2d
42,0.12,0.06666666666666667,0.6417112299465241,2d
43,0.12,0.08333333333333333,0.6971830985915493,2d
44,0.12,0.1,0.7134146341463414,2d
45,0.12,0.13333333333333333,0.7437810945273632,2d
46,0.12,0.16666666666666666,0.8038277511961722,2d
47,0.12,0.21666666666666667,0.851063829787234,2d
48,0.12,0.26666666666666666,0.8209255533199196,2d
49,0.12,0.35,0.8296296296296296,2d
50,0.12,0.45,0.8872340425531915,2d
51,0.12,0.5833333333333334,0.8879837067209776,2d
52,0.12,0.7666666666666667,0.9101654846335697,2d
53,0.12,0.9833333333333333,0.9209486166007905,2d
54,0.12,1.2666666666666666,0.9404761904761905,2d
55,0.12,1.65,0.9642857142857143,2d
56,0.12,2.1333333333333333,0.92,2d
57,0.12,2.75,0.94,2d
58,0.12,3.566666666666667,0.9583333333333334,2d
59,0.12,4.616666666666666,0.95,2d
60,0.25,0.03333333333333333,0.532608695652174,2d
61,0.25,0.05,0.6288659793814433,2d
62,0.25,0.06666666666666667,0.7621621621621621,2d
63,0.25,0.08333333333333333,0.8288590604026845,2d
64,0.25,0.1,0.8574338085539714,2d
65,0.25,0.13333333333333333,0.8831521739130435,2d
66,0.25,0.16666666666666666,0.946236559139785,2d
67,0.25,0.21666666666666667,0.9671052631578947,2d
68,0.25,0.26666666666666666,0.9491525423728814,2d
69,0.25,0.35,0.9684466019417476,2d
70,0.25,0.45,0.9645232815964523,2d
71,0.25,0.5833333333333334,0.9739478957915831,2d
72,0.25,0.7666666666666667,0.9732360097323601,2d
73,0.25,0.9833333333333333,0.9698996655518395,2d
74,0.25,1.2666666666666666,0.9607843137254902,2d
75,0.25,1.65,1.0,2d
76,0.25,2.1333333333333333,1.0,2d
77,0.25,2.75,1.0,2d
78,0.25,3.566666666666667,1.0,2d
79,0.25,4.616666666666666,1.0,2d
80,0.5,0.03333333333333333,0.5863309352517986,2d
81,0.5,0.05,0.7301255230125523,2d
82,0.5,0.06666666666666667,0.89375,2d
83,0.5,0.08333333333333333,0.9239766081871345,2d
84,0.5,0.1,0.9703389830508474,2d
85,0.5,0.13333333333333333,0.9613095238095238,2d
86,0.5,0.16666666666666666,0.9826254826254827,2d
87,0.5,0.21666666666666667,0.9830508474576272,2d
88,0.5,0.26666666666666666,0.9934497816593887,2d
89,0.5,0.35,0.9953596287703016,2d
90,0.5,0.45,0.997716894977169,2d
91,0.5,0.5833333333333334,0.9933035714285714,2d
92,0.5,0.7666666666666667,0.9954128440366973,2d
93,0.5,0.9833333333333333,0.9942196531791907,2d
94,0.5,1.2666666666666666,0.9891304347826086,2d
95,0.5,1.65,1.0,2d
96,0.5,2.1333333333333333,1.0,2d
97,0.5,2.75,0.9833333333333333,2d
98,0.5,3.566666666666667,1.0,2d
99,0.5,4.616666666666666,1.0,2d
0,0.03,0.03333333333333333,0.5357142857142857,3d
1,0.03,0.05,0.5209302325581395,3d
2,0.03,0.06666666666666667,0.49473684210526314,3d
3,0.03,0.08333333333333333,0.5533980582524272,3d
4,0.03,0.1,0.5072727272727273,3d
5,0.03,0.13333333333333333,0.5380281690140845,3d
6,0.03,0.16666666666666666,0.5287356321839081,3d
7,0.03,0.21666666666666667,0.49645390070921985,3d
8,0.03,0.26666666666666666,0.5539112050739958,3d
9,0.03,0.35,0.5403726708074534,3d
10,0.03,0.45,0.5091743119266054,3d
11,0.03,0.5833333333333334,0.5562770562770563,3d
12,0.03,0.7666666666666667,0.5793650793650794,3d
13,0.03,0.9833333333333333,0.5611285266457681,3d
14,0.03,1.2666666666666666,0.6753246753246753,3d
15,0.03,1.65,0.35,3d
16,0.03,2.1333333333333333,0.6,3d
17,0.03,2.75,0.5833333333333334,3d
18,0.03,3.566666666666667,0.6617647058823529,3d
19,0.03,4.616666666666666,0.5869565217391305,3d
20,0.06,0.03333333333333333,0.46153846153846156,3d
21,0.06,0.05,0.5467289719626168,3d
22,0.06,0.06666666666666667,0.5172413793103449,3d
23,0.06,0.08333333333333333,0.5342960288808665,3d
24,0.06,0.1,0.4940944881889764,3d
25,0.06,0.13333333333333333,0.6451612903225806,3d
26,0.06,0.16666666666666666,0.6061320754716981,3d
27,0.06,0.21666666666666667,0.6014150943396226,3d
28,0.06,0.26666666666666666,0.6428571428571429,3d
29,0.06,0.35,0.5793650793650794,3d
30,0.06,0.45,0.6027397260273972,3d
31,0.06,0.5833333333333334,0.6497890295358649,3d
32,0.06,0.7666666666666667,0.6061946902654868,3d
33,0.06,0.9833333333333333,0.6043956043956044,3d
34,0.06,1.2666666666666666,0.6428571428571429,3d
35,0.06,1.65,0.7105263157894737,3d
36,0.06,2.1333333333333333,0.6190476190476191,3d
37,0.06,2.75,0.5689655172413793,3d
38,0.06,3.566666666666667,0.6451612903225806,3d
39,0.06,4.616666666666666,0.57,3d
40,0.12,0.03333333333333333,0.4835164835164835,3d
41,0.12,0.05,0.5595238095238095,3d
42,0.12,0.06666666666666667,0.5347593582887701,3d
43,0.12,0.08333333333333333,0.541958041958042,3d
44,0.12,0.1,0.5877712031558185,3d
45,0.12,0.13333333333333333,0.6014492753623188,3d
46,0.12,0.16666666666666666,0.6286353467561522,3d
47,0.12,0.21666666666666667,0.6822157434402333,3d
48,0.12,0.26666666666666666,0.6756238003838771,3d
49,0.12,0.35,0.6795180722891566,3d
50,0.12,0.45,0.6804511278195489,3d
51,0.12,0.5833333333333334,0.6980728051391863,3d
52,0.12,0.7666666666666667,0.6902654867256637,3d
53,0.12,0.9833333333333333,0.739010989010989,3d
54,0.12,1.2666666666666666,0.7446808510638298,3d
55,0.12,1.65,0.6785714285714286,3d
56,0.12,2.1333333333333333,0.78,3d
57,0.12,2.75,0.64,3d
58,0.12,3.566666666666667,0.6666666666666666,3d
59,0.12,4.616666666666666,0.77,3d
60,0.25,0.03333333333333333,0.49725274725274726,3d
61,0.25,0.05,0.4864864864864865,3d
62,0.25,0.06666666666666667,0.5311653116531165,3d
63,0.25,0.08333333333333333,0.6298507462686567,3d
64,0.25,0.1,0.6533066132264529,3d
65,0.25,0.13333333333333333,0.7117346938775511,3d
66,0.25,0.16666666666666666,0.7412008281573499,3d
67,0.25,0.21666666666666667,0.7657657657657657,3d
68,0.25,0.26666666666666666,0.8227571115973742,3d
69,0.25,0.35,0.8310185185185185,3d
70,0.25,0.45,0.8049281314168378,3d
71,0.25,0.5833333333333334,0.8136200716845878,3d
72,0.25,0.7666666666666667,0.8728179551122195,3d
73,0.25,0.9833333333333333,0.8567961165048543,3d
74,0.25,1.2666666666666666,0.839622641509434,3d
75,0.25,1.65,0.8636363636363636,3d
76,0.25,2.1333333333333333,0.875,3d
77,0.25,2.75,0.9230769230769231,3d
78,0.25,3.566666666666667,0.875,3d
79,0.25,4.616666666666666,0.85,3d
80,0.5,0.03333333333333333,0.534965034965035,3d
81,0.5,0.05,0.5892857142857143,3d
82,0.5,0.06666666666666667,0.6137931034482759,3d
83,0.5,0.08333333333333333,0.7079207920792079,3d
84,0.5,0.1,0.7665198237885462,3d
85,0.5,0.13333333333333333,0.7963446475195822,3d
86,0.5,0.16666666666666666,0.8566176470588235,3d
87,0.5,0.21666666666666667,0.8506493506493507,3d
88,0.5,0.26666666666666666,0.9125,3d
89,0.5,0.35,0.9324009324009324,3d
90,0.5,0.45,0.9387308533916849,3d
91,0.5,0.5833333333333334,0.94831013916501,3d
92,0.5,0.7666666666666667,0.9355555555555556,3d
93,0.5,0.9833333333333333,0.9429824561403509,3d
94,0.5,1.2666666666666666,0.9479166666666666,3d
95,0.5,1.65,0.9375,3d
96,0.5,2.1333333333333333,0.975,3d
97,0.5,2.75,0.9666666666666667,3d
98,0.5,3.566666666666667,0.925,3d
99,0.5,4.616666666666666,0.96,3d
